year,jornada,date,stadium,teamA,teamB,scoreTeamA,scoreTeamB,winner,winnerAsNumeric
1935,20,14 Abr 35,San Mamés,Athletic,Real Betis,0,0,Draw,0
1935,20,14 Abr 35,RCDE Stadium,Espanyol,Sociedad,4,1,Espanyol,1
1935,20,14 Abr 35,Campos de Sport de El Sardinero,Racing,Barcelona,2,3,Barcelona,2
1935,20,14 Abr 35,Santiago Bernabéu,Real Madrid,Valencia,3,0,Real Madrid,1
1935,20,14 Abr 35,Carlos Tartiere,Real Oviedo,Atlético,2,1,Real Oviedo,1
1935,20,14 Abr 35,Ramón Sánchez Pizjuán,Sevilla,Arenas,4,0,Sevilla,1
1935,21,21 Abr 35,Municipal de Gobela,Arenas,Racing,0,1,Racing,2
1935,21,21 Abr 35,Wanda Metropolitano,Atlético,Espanyol,5,2,Atlético,1
1935,21,21 Abr 35,Camp Nou,Barcelona,Real Madrid,5,0,Barcelona,1
1935,21,21 Abr 35,Benito Villamarín,Real Betis,Sevilla,2,2,Draw,0
1935,21,21 Abr 35,Carlos Tartiere,Real Oviedo,Valencia,4,4,Draw,0
1935,21,22 Abr 35,Anoeta,Sociedad,Athletic,0,4,Athletic,2
1935,22,28 Abr 35,San Mamés,Athletic,Atlético,5,2,Athletic,1
1935,22,28 Abr 35,RCDE Stadium,Espanyol,Real Oviedo,3,2,Espanyol,1
1935,22,28 Abr 35,Campos de Sport de El Sardinero,Racing,Real Betis,0,5,Real Betis,2
1935,22,28 Abr 35,Santiago Bernabéu,Real Madrid,Arenas,6,1,Real Madrid,1
1935,22,28 Abr 35,Ramón Sánchez Pizjuán,Sevilla,Sociedad,7,2,Sevilla,1
1935,22,28 Abr 35,Mestalla,Valencia,Barcelona,1,1,Draw,0
